bookId,COUNT(*),cnum
917,53,53
918,100,100
919,7,7
920,38,19
923,35,35
924,7,7
925,4,4
926,97,97
927,22,22
928,107,107
930,21,21
931,393,189
932,9,9
933,19,19
935,19,19
938,16,16
939,246,129
943,165,165
944,222,111
946,6,6
947,58,58
948,4,4
949,36,36
952,70,70
953,94,94
954,7,7
956,15,15
957,18,18
960,178,178
962,75,75
963,193,193
968,41,41
981,199,199
988,250,250
990,21,21
991,36,36
992,191,191
993,49,49
995,36,36
997,31,31
999,58,58
1000,72,72
1001,81,81
1002,161,161
1004,216,216
1005,15,15
1006,259,259
1008,18,18
1009,64,64
1010,160,160
1014,62,62
1021,2,2
1023,16,16
1046,130,130
1074,105,105
1091,429,429
1093,79,79
1106,20,20
1116,2,2
1118,2,2
1120,159,159
1121,136,136
1122,3,3
1139,165,165
1140,59,59
1142,6,6
1144,151,151
1145,118,118
1159,10,10
1160,172,172
1170,36,36
1178,162,162
1179,113,113
1188,29,29
1194,73,73
1201,281,281
1219,158,158
1222,98,98
1234,173,173
1236,135,135
1240,378,378
1241,185,185
1247,170,170
1249,161,161
1251,69,69
1252,2,2
1253,26,26
1254,74,74
1258,74,74
1269,106,106
1277,101,101
1281,70,70
1319,168,168
1323,173,173
1333,120,120
1342,98,98
1349,3,3
1351,156,156
1352,175,175
1356,347,347
1357,261,261
1360,148,148
1361,5,5
1363,593,593
1366,271,271
1373,614,614
1375,35,35
1377,102,102
1380,97,97
1389,103,103
1395,148,148
1401,122,122
1405,252,252
1406,140,140
1410,5,5
1411,496,496
1416,88,88
1419,383,383
1424,92,92
1428,238,238
1429,295,295
1433,386,386
1435,458,458
1436,359,359
1437,164,164
1440,225,225
1442,152,152
1448,191,191
1449,208,208
1450,419,419
1451,153,153
1452,178,178
1453,115,115
1456,210,125
1459,70,70
1460,147,147
1464,156,156
1466,166,166
1468,97,97
1469,113,113
1473,338,338
1477,80,80
1480,74,74
1481,122,122
1482,128,128
1483,110,110
1484,155,155
1485,125,125
1486,197,197
1487,14,14
1488,27,27
1494,247,247
1495,138,138
1496,250,250
1500,129,129
1501,180,180
1502,166,166
1504,128,128
1506,165,165
1509,44,44
1511,12,12
1512,12,12
1517,172,172
1518,127,127
1521,273,273
1522,23,23
1523,329,329
1524,161,161
1526,31,31
1528,25,25
1529,15,15
1531,160,160
1532,93,93
1533,144,144
1534,160,160
1537,149,149
1538,165,165
1539,4,4
1543,76,76
1545,266,266
1546,30,30
1548,129,129
1552,21,21
1553,75,75
1554,28,28
1555,95,95
1556,165,165
1560,134,134
1562,80,80
1564,174,174
1566,14,14
1568,21,21
1569,6,6
1570,4,4
1572,85,85
1573,138,138
1574,145,145
1576,152,152
1577,102,102
1578,6,6
1579,8,8
1580,119,119
1583,5,5
1586,29,29
1587,2,2
1588,111,111
1589,28,28
1590,75,75
1591,36,36
1592,4,4
1593,9,9
1594,57,57
1596,152,152
1598,157,157
1599,45,45
1600,3,3
1601,67,67
1602,46,46
1605,17,17
1606,63,63
1607,8,8
1608,22,22
1609,128,128
1610,64,64
1611,47,47
1612,179,179
1613,105,105
1615,155,155
1616,34,34
1618,115,115
1620,38,38
1622,84,84
1623,28,28
1632,29,29
1633,21,21
1634,3,3
1636,178,178
1637,10,10
1638,104,53
1640,52,25
1641,66,66
1642,11,11
1643,19,19
1644,134,134
1646,22,22
1648,112,112
1649,18,18
1650,70,70
1653,91,91
1654,3,3
1655,112,112
1656,92,92
1657,35,35
1658,109,55
1660,10,10
1661,23,23
1662,20,20
1664,81,81
1665,234,234
1666,65,65
1667,56,56
1668,9,9
1669,20,20
1671,25,25
1672,14,14
1673,9,9
1674,112,112
1675,115,115
1676,5,5
1677,105,105
1678,29,29
1680,7,7
1682,23,23
1683,5,5
1684,9,9
1685,14,14
1686,29,29
1688,22,22
1689,40,40
1690,12,12
1691,11,11
1692,3,3
1693,5,5
1695,2,2
1696,8,8
1697,17,17
1698,23,23
1699,6,6
1700,21,21
1701,46,46
1702,154,154
1703,4,4
1706,2,2
1707,18,18
1709,169,169
1710,79,79
1711,16,16
1712,22,22
1713,23,23
1714,80,80
1715,8,8
1716,60,60
1717,68,68
1718,226,116
1719,196,196
1720,44,44
1721,170,170
1722,11,11
1724,5,5
1725,8,8
1726,2,2
1727,10,10
1728,10,10
1729,46,46
1730,106,106
1732,38,38
1735,9,9
1736,127,127
1737,28,14
1738,16,16
1739,46,46
1740,94,94
1741,4,4
1742,12,12
1743,16,16
1744,69,69
1745,15,15
1746,88,88
1747,122,122
1748,17,17
1750,6,6
1753,11,11
1754,10,10
1757,14,14
1758,48,48
1760,30,30
1761,6,6
1763,77,77
1765,16,16
1784,446,446
1811,126,126
1855,576,576
1870,53,53
1872,157,157
1873,150,150
1874,5,5
1875,147,147
1879,105,105
1898,118,118
1899,149,149
1910,270,270
1913,180,180
1917,128,128
1920,63,63
1926,192,192
1931,63,63
1934,613,613
1940,101,101
1944,71,71
1953,143,143
1964,163,163
1968,247,247
1969,908,908
1970,34,34
1973,268,268
1978,385,385
1984,190,190
1992,217,217
1998,554,554
1999,353,353
2000,194,194
2002,2,2
2008,4,4
2010,146,146
2025,262,262
2026,356,356
2030,6,6
2031,132,132
2041,400,400
2043,129,129
2045,255,255
2048,76,76
2053,79,79
2055,448,448
2056,278,278
2058,135,135
2061,25,25
2065,675,675
2068,31,31
2072,272,272
2079,114,114
2084,108,108
2117,120,120
2138,110,110
2147,82,82
2168,91,91
2178,20,20
2180,205,205
2184,108,108
2186,30,30
2206,86,86
2208,134,134
2209,267,267
2210,130,130
2230,1250,330
2246,90,90
2249,117,117
