61167,116,418
61169,47,120
61226,70,73
62132,12,225
62147,40,56
62156,131,136
62159,139,162
62509,340,389
62567,230,420
62570,431,432
62579,472,473
62641,339,346
62686,407,493
62732,103,490
62991,450,633
63239,9,279
63316,31,47
63483,204,354
63530,392,1107
63532,59,958
63582,4,53
63615,143,144
63627,331,349
63639,251,475
63704,54,665
63740,18,41
63779,355,408
63896,4,65
63918,92,93
63928,261,285
63978,77,451
64005,703,715
64408,1,4
64418,10,15
64570,155,323
64580,232,233
64584,286,350
64595,199,226
64598,163,372
64599,99,117
64628,116,206
64644,263,427
64651,417,423
64662,211,450
64663,28,40
64669,331,339
64707,234,290
64711,249,251
64721,221,232
64734,98,116
64744,275,280
64758,161,170
64760,1,5
64793,221,234
64804,105,106
64818,944,1010
64820,41,64
64840,312,313
64843,133,252
64855,62,66
64871,116,172
64879,113,131
64886,234,235
64907,175,213
65120,44,260
65171,468,470
65180,631,656
65188,164,167
65287,93,94
65702,137,138
65716,210,246
65746,315,318
65752,206,387
65780,88,148
65786,71,189
65793,36,38
65808,295,360
65813,18,120
65835,448,449
65858,102,160
65861,271,362
65866,499,536
65900,414,425
65910,586,599
65934,197,204
65951,346,364
65959,159,161
65971,19,70
66021,229,246
66036,613,865
66040,48,51
66106,117,118
66121,155,156
66128,344,388
66152,14,115
66158,428,516
66190,349,574
66191,188,189
66192,153,161
66201,155,190
66216,300,338
66247,891,1092
66256,410,414
66287,206,212
66444,174,176
66465,1,2
66523,9,37
66535,339,377
66671,153,156
66754,125,147
66833,154,166
66844,211,225
66853,225,230
66855,263,288
66878,506,1301
66882,211,231
66887,159,219
66893,155,257
66894,207,208
66898,202,221
66918,131,139
66925,190,401
66929,266,423
66947,163,301
66955,215,221
66956,147,152
66962,267,401
66964,110,112
66966,141,163
66971,87,129
66973,148,153
66985,274,596
66988,89,105
66989,179,188
67005,245,317
67019,119,120
67023,202,389
67026,172,189
67027,285,307
67056,304,329
67063,219,289
67099,9,19
67103,64,407
67147,107,262
67160,177,181
67161,380,508
67169,103,264
67187,208,451
67199,118,219
67234,162,165
67237,85,87
67246,259,260
67250,184,197
67263,245,322
67270,49,52
67309,255,261
67350,237,242
67361,141,146
67377,231,369
67446,155,156
67485,231,304
67502,156,169
67599,101,127
67614,195,198
67623,283,447
67625,364,411
67652,471,527
67708,759,1091
67734,185,194
67757,107,194
67766,214,256
67800,408,409
67810,522,711
67812,282,322
67824,125,160
67868,11,53
67889,48,138
67914,300,360
67918,430,432
67921,134,135
67923,22,78
67932,226,240
67979,482,483
67980,2,118
67983,304,318
67997,212,218
68004,352,354
68067,432,434
68069,336,340
68101,200,447
68131,169,170
68152,358,373
68170,934,944
68177,189,192
68188,250,255
68198,177,178
68261,211,365
68310,870,871
68347,306,307
68348,7,562
68357,395,435
68374,181,269
68413,8,19
68415,190,198
68484,767,859
68506,203,212
68542,91,168
68660,92,132
68676,86,174
68694,61,125
68710,465,466
68742,268,283
68816,179,186
68838,101,102
68839,287,291
68848,58,65
68893,123,124
68905,135,311
68948,319,320
68954,196,197
68968,51,150
68976,298,318
69036,171,190
69046,179,180
69140,114,234
69160,39,72
69363,48,51
69365,218,230
69460,6,20
69471,424,482
69501,114,267
69558,442,473
69563,163,180
69572,258,264
69609,162,164
69638,195,226
69643,95,96
69648,30,34
69674,76,87
69682,191,193
69691,187,250
69715,156,158
69737,19,38
69744,108,116
69760,31,38
69761,58,69
69786,232,359
69899,230,238
70209,34,101
70308,103,169
70444,64,66
70549,322,334
70628,238,261
70978,2,13
70988,22,77
71064,55,94
71227,13,78
71230,31,140
71333,24,30
71552,49,450
71597,7,78
71669,13,240
71909,43,45
71969,6,69
72188,203,459
72330,49,159
72475,34,58
72509,160,171
72510,197,290
72512,125,306
72513,58,96
72521,2,55
72523,3,48
72524,1,72
72527,1,48
72528,1,96
72531,1,59
72533,1,54
72543,47,410
72594,101,278
72674,4,95
72704,121,508
72708,84,299
72760,30,152
72777,1,54
72792,318,384
72793,182,281
72794,229,285
72795,90,399
72796,5,35
72797,53,66
72798,65,200
72799,91,226
72800,17,85
72802,24,109
72804,4,52
72805,49,327
72806,50,355
72807,64,84
72873,145,150
72912,341,401
72917,45,70
72921,180,184
72927,124,285
72964,52,155
73067,60,84
73210,107,123
73211,32,177
73329,249,382
73559,40,411
73766,48,201
73788,63,167
73965,160,302
74123,443,481
74125,459,561
