57370,602,600
57455,1187,1185
57629,4101,4099
58249,993,991
58507,1847,1845
58712,1541,1539
58816,1023,1022
58877,2511,2506
59204,815,813
59253,1527,1526
59256,1160,1158
59287,1553,1551
59297,769,767
59607,2195,2194
59746,602,500
59861,1332,1330
67956,480,476
71390,890,885
71440,564,556
71661,880,878
71749,955,951
71826,163,160
71896,292,288
72016,1170,1164
72301,322,188
72930,64,0
74150,108,1
76285,618,616
78538,190,189
79017,1309,1297
79334,253,247
79479,301,288
79493,314,313
79585,1272,1270
79670,238,233
79931,203,202
79988,302,300
80034,1414,1406
81258,373,372
81669,527,515
81832,282,281
82061,1097,1095
82084,652,651
82098,1337,1334
82155,642,638
82234,914,913
82274,2170,2168
82318,2325,2324
82335,730,729
82386,154,153
82389,1651,1650
82417,1361,1360
82427,764,763
82510,1928,1926
82513,1033,1032
82522,258,255
82535,1238,1237
82556,3057,3053
82592,1062,1060
82610,809,806
82631,261,260
82658,736,735
82659,903,901
82684,1953,1952
82718,1108,1102
82735,941,938
82741,2748,2745
82745,2150,2148
82763,1634,1628
82785,960,959
82792,1783,1779
82842,335,333
82868,1905,1904
82877,738,733
82918,750,746
84111,1977,1975
84115,228,225
89240,1043,1042
92320,170,0
92365,223,0
