939,246,129
1456,210,125
1638,104,53
1640,52,25
1658,109,55
1718,226,116
1737,28,14
2230,1250,330
2789,185,94
3647,123,83
3755,46,3
3857,42,21
4048,54,28
4171,88,45
4203,281,31
4298,203,102
4306,177,90
4447,172,86
4487,158,35
4605,122,61
4611,134,86
4617,201,116
4654,163,85
4703,112,55
4717,49,25
4948,159,81
4949,397,161
4952,336,162
4957,152,77
4958,153,77
4993,145,85
5053,64,36
5075,305,152
5077,50,13
5078,81,42
5086,59,29
5088,108,57
5095,124,78
5160,42,29
5184,320,185
5348,300,159
5372,177,76
5491,48,15
5517,32,16
5560,167,85
5570,123,62
5588,18,10
5673,60,30
5695,203,101
5739,166,101
5832,182,148
5952,246,123
6058,163,87
6071,195,104
6075,225,122
6371,40,26
6669,153,59
7071,18,9
7287,54,28
7338,100,50
7340,11,5
7517,147,90
7522,174,87
7552,142,72
7793,123,62
7866,281,24
8101,284,142
8181,219,116
8334,52,41
8341,99,58
8360,27,15
8387,207,104
8396,71,12
8412,159,99
8580,37,35
8681,21,11
8792,147,74
8847,29,15
8923,321,164
9106,49,38
9210,20,10
9249,23,12
9251,51,11
9837,23,12
9966,23,13
10108,20,10
10285,21,11
10548,140,70
10647,16,7
10683,24,12
10688,201,100
10875,20,10
11131,20,10
11366,180,43
11646,120,60
11713,139,70
12433,235,118
12469,143,73
12564,23,12
12997,20,10
13087,210,107
14035,22,12
14202,24,12
14226,111,57
14340,22,12
14609,24,12
14667,206,61
14800,22,11
14844,22,11
14846,16,5
15009,25,13
15034,137,99
15198,92,37
15224,133,65
15399,36,27
15456,21,11
15642,24,12
15730,266,77
15732,24,12
15937,170,87
16028,22,11
16036,181,97
16265,43,10
16630,224,115
16699,89,44
16868,18,9
16919,121,49
16949,151,76
17214,152,32
17334,39,27
17395,190,88
17402,145,10
17445,192,98
17482,23,12
17973,352,65
18403,22,12
19055,42,30
19605,102,51
19740,124,47
20111,22,11
20235,79,27
20430,20,10
20491,244,124
20933,20,10
21015,16,8
21659,65,33
21853,102,51
22219,85,71
22391,124,62
22473,358,64
22549,73,63
22557,321,168
22650,172,164
22711,173,88
23156,183,92
23220,193,100
23401,168,84
23459,102,52
23506,179,93
23536,199,99
23656,117,58
23802,202,110
24005,237,119
24013,216,109
24029,325,128
24082,164,82
24167,270,136
24181,335,167
24240,41,19
24250,302,156
24293,97,50
24329,479,37
24357,146,83
24385,435,200
24424,368,184
24500,718,182
24514,24,12
24600,373,87
24680,75,38
24738,126,63
24856,186,96
24976,114,103
24986,8,4
25336,384,192
25402,153,78
25610,238,119
25632,28,16
25742,191,98
25861,211,106
25986,121,57
26202,91,52
26498,6,3
27146,122,61
27332,33,11
27407,18,9
27413,99,50
27509,167,74
27585,74,42
27792,85,43
27799,54,27
27838,20,10
34538,210,106
34550,212,106
34573,20,10
34649,157,79
34650,20,10
34692,38,19
34716,20,10
34756,295,181
34785,84,19
34806,200,100
34816,232,110
34870,70,35
34909,118,66
34936,212,101
35038,118,59
35047,57,27
35052,132,63
35139,278,9
35246,33,17
35254,95,48
35301,97,48
35393,301,151
35454,56,26
35497,73,36
35542,87,16
35543,64,32
35686,79,32
35723,169,78
36082,60,8
36100,56,28
36926,57,28
36946,35,18
37005,42,21
38660,343,177
38692,218,115
38820,141,60
38922,347,173
38998,225,149
39002,37,18
39199,172,86
39409,107,56
39534,160,80
39937,314,160
40361,83,43
40389,64,44
40416,107,55
40492,51,26
40495,95,48
40496,239,120
40525,105,53
40768,49,29
40772,40,20
40795,70,35
41127,64,32
41167,101,51
41248,37,18
41325,78,39
41407,52,26
41680,233,127
42190,145,63
42262,77,20
42264,40,22
43816,36,18
44010,336,27
44868,7,3
44948,42,20
45153,94,47
45184,12,3
45318,108,56
45326,52,27
45357,101,32
45389,143,79
45485,20,10
45523,67,33
45688,130,68
45770,92,49
45782,72,31
45824,30,15
45835,86,45
45848,213,125
45942,4,2
45986,25,16
46207,41,21
46287,52,11
46319,27,14
46577,19,12
46656,244,122
46667,26,13
46716,33,17
46833,8,4
46889,75,35
47140,16,8
47155,14,7
47161,302,153
47284,8,4
47396,43,23
47397,15,5
47415,47,25
47441,7,3
47463,43,22
47546,36,18
47554,306,11
47645,40,27
47660,21,7
47663,55,20
47726,41,6
47732,40,20
47761,52,19
47762,79,72
47781,8,4
47788,54,2
47830,35,15
47832,67,4
47850,15,14
47863,14,2
47864,13,7
47870,34,17
47875,207,45
47882,7,5
47900,32,16
47939,34,27
47965,173,74
49352,36,18
49471,70,35
49683,157,79
49752,114,57
49799,240,120
49806,348,192
49840,955,480
49848,800,400
49852,317,161
49861,229,120
49865,393,197
49870,102,51
49874,119,61
49959,234,117
50051,164,40
50084,276,139
50085,179,109
50123,74,38
50977,220,111
50999,364,179
51014,235,121
51029,214,195
51030,188,112
51047,241,237
51053,1229,1219
51058,1416,1366
51068,2193,595
51079,1839,1400
51093,729,709
51402,2096,1800
51427,1968,1767
51546,1257,1256
51558,2334,2293
