bookId,COUNT(*),cnum
55501,277,278
55502,217,217
55503,160,162
55504,315,316
55506,322,322
55507,726,726
55508,41,154
55509,33,33
55510,391,391
55511,1328,1328
55517,814,814
55518,394,394
55521,118,183
55522,3190,3190
55526,741,742
55527,302,303
55529,893,913
55531,1115,1115
55532,658,658
55535,104,104
55537,314,314
55541,78,78
55542,72,73
55544,126,200
55546,62,221
55547,507,507
55548,497,497
55550,284,284
55551,136,136
55552,240,241
55553,572,572
55554,154,154
55555,64,68
55556,84,118
55557,365,366
55558,647,693
55559,370,370
55560,168,174
55562,312,312
55563,535,535
55564,44,283
55566,149,156
55567,396,397
55568,332,333
55569,176,176
55570,621,622
55571,1239,1239
55573,54,55
55575,810,810
55576,4076,4076
55577,840,840
55578,168,168
55580,173,174
55581,679,679
55582,111,2071
55585,885,885
55586,210,210
55587,361,361
55589,293,309
55590,121,121
55591,983,983
55592,673,674
55593,44,111
55594,409,409
55597,661,661
55598,67,67
55599,995,995
55600,945,945
55602,454,454
55603,2285,2346
55607,1318,1318
55608,76,241
55611,265,265
55613,464,491
55614,267,268
55615,378,378
55616,2427,2427
55618,268,268
55620,256,453
55621,933,933
55623,2159,2159
55624,491,492
55625,548,548
55627,519,519
55628,1575,1578
55629,607,607
55631,315,315
55632,341,394
55633,613,613
55634,635,635
55635,545,545
55636,222,223
55637,20,110
55638,162,319
55639,482,483
55641,507,574
55642,767,767
55644,125,125
55645,1097,1281
55646,193,193
55647,400,400
55648,385,385
55649,1030,1031
55650,228,228
55651,183,185
55652,209,209
55653,77,77
55655,145,145
55656,217,217
55657,1999,1999
55659,108,108
55660,559,559
55661,408,408
55662,327,327
55663,448,449
55665,378,617
55667,1067,1067
55670,249,250
55671,229,230
55672,121,121
55674,1145,1145
55675,71,72
55676,684,686
55677,275,275
55679,390,390
55680,249,249
55681,409,409
55683,283,283
55684,131,154
55686,1005,1005
55689,266,267
55690,80,89
55693,529,529
55695,526,526
55697,210,210
55699,92,92
55700,349,350
55701,1378,1378
55702,433,434
55703,314,314
55704,120,121
55705,681,681
55709,138,140
55711,1740,1740
55716,59,141
55717,552,552
55721,169,169
55723,1116,1116
55726,859,860
55727,915,916
55730,155,156
55731,79,111
55733,742,742
55734,382,383
55740,223,223
55741,153,153
55742,2884,2884
55748,37,79
55750,567,568
55751,154,154
55755,241,242
55756,199,203
55757,1067,1067
55761,107,111
55765,1074,1074
55767,110,205
55768,298,298
55769,735,735
55771,58,341
55772,519,519
55774,557,561
55775,50,482
55776,1065,1282
55777,672,672
55778,520,521
55779,26,86
55780,404,479
55781,230,230
55782,77,136
55783,1772,1772
55787,159,159
55788,108,108
55790,86,89
55791,335,335
55793,347,347
55794,339,371
55795,66,123
55796,645,657
55797,1360,1360
55799,543,543
55801,410,411
55802,373,373
55803,58,61
55804,157,162
55806,849,849
55807,830,830
55809,484,484
55811,179,179
55813,249,249
55815,268,268
55817,736,736
55822,126,128
55823,126,126
55827,270,270
55828,255,255
55829,89,104
55831,198,204
55832,175,180
55833,179,180
55834,62,62
55836,5,71
55837,456,456
55838,85,85
55839,524,525
55840,144,145
55841,291,295
55842,2500,2500
55848,294,294
55851,496,496
55853,78,78
55854,474,474
55855,465,465
55857,172,209
55858,487,487
55860,4,83
55861,74,74
55862,128,128
55864,322,324
55865,168,168
55867,208,208
55868,434,434
55875,145,146
55876,440,440
55878,604,622
55881,140,158
55883,416,416
55885,328,328
55888,308,310
55889,9,116
55891,55,55
55892,397,398
55894,507,507
55896,350,350
55898,281,281
55899,160,160
55900,1485,1485
55905,112,112
55906,116,117
55908,124,126
55909,1310,1310
55914,793,793
55916,190,190
55918,429,430
55920,536,1012
55923,1,117
55924,313,340
55925,960,960
55926,856,856
55927,1454,1455
55928,294,295
55929,180,181
55930,1822,1822
55931,148,150
55932,42,42
55934,72,72
55935,2076,2211
55936,627,627
55937,1746,1746
55938,760,760
55940,179,179
55941,429,429
55942,1193,1193
55944,42,42
55945,591,591
55946,310,310
55947,555,555
55949,141,141
55950,1433,1433
55951,1344,1344
55952,792,794
55953,203,203
55954,621,621
55955,637,637
55957,222,222
55958,3441,3739
55959,235,235
55961,319,319
55962,126,126
55970,620,1430
55971,542,543
55972,542,542
55973,103,103
55974,509,509
55975,310,310
55976,633,633
55977,1036,1140
55978,1291,1291
55979,696,696
55980,755,755
55981,675,675
55982,1123,1123
55984,759,759
55985,690,692
55986,470,470
55987,654,654
55988,659,659
55989,50,50
55990,482,487
55991,1470,1642
55992,876,877
55994,1821,1989
55996,1686,1686
55997,1310,1310
55998,1010,1010
55999,609,609
56000,1315,1315
56001,1826,1826
56002,28,50
56003,116,116
56004,678,752
56005,74,74
56007,933,933
56009,342,581
56010,2057,2057
56011,289,482
56012,1061,1061
56015,127,127
56018,556,556
56019,182,183
56021,341,341
56022,392,392
56023,2121,2137
56024,530,531
56025,901,902
56027,4546,4546
56030,630,630
56031,1027,1027
56032,120,120
56033,125,125
56034,167,169
56036,732,829
56037,90,90
56038,336,336
56039,676,676
56040,74,74
56041,616,616
56042,1271,1271
56043,1140,1140
56044,105,105
56045,210,210
56046,727,727
56047,3,407
56048,158,158
56049,1420,1420
56050,127,940
56051,422,423
56052,1041,1041
56053,1870,1870
56054,258,258
56055,1125,1125
56056,447,448
56057,144,189
56059,1223,1224
56060,900,901
56061,681,681
56062,2519,2519
56063,39,39
56064,257,398
56065,236,236
56066,952,952
56067,69,69
56069,321,321
56070,350,498
56072,1176,1176
56073,105,231
56074,519,522
56075,246,246
56076,668,671
56077,892,892
56078,470,470
56080,78,79
56081,1209,1209
56082,666,666
56083,1790,1790
56084,157,157
56085,457,458
56087,56,174
56089,359,359
56090,14,14
56091,1764,1764
56092,974,974
56093,911,911
56094,153,153
56095,278,309
56097,132,133
56098,689,689
56131,95,95
56132,176,176
56133,767,767
56136,463,463
56138,553,553
56139,230,230
56140,997,997
56150,323,323
56163,648,648
56272,1663,1664
56274,153,153
56275,174,211
56276,2708,2708
56279,1838,1838
56282,64,64
56283,587,587
56284,2802,2802
56285,517,517
56287,503,524
56289,439,439
56292,199,282
56293,3774,3774
56294,346,347
56295,858,858
56297,192,192
56298,42,42
56301,1222,1939
56303,668,671
56304,1997,1997
56305,202,203
56306,2163,2163
56307,608,608
56308,773,773
56309,1436,1436
56310,542,543
56312,322,323
56313,2475,2475
56314,306,307
56315,1459,1459
56316,1043,1338
56317,390,596
56318,401,401
56319,48,48
56320,1045,1045
56321,1159,1159
56322,376,376
56323,6854,6854
56324,965,965
56326,1251,1251
56328,152,152
56330,2549,2549
56331,1261,1261
56332,262,262
56333,1326,1327
56334,451,451
56335,3578,3578
56336,582,582
56337,2095,2640
56338,1932,1932
56340,739,932
56341,375,430
56342,1120,1322
56343,2523,6041
56344,612,612
56345,543,543
56346,1209,1209
56347,1154,1154
56348,1628,2452
56349,389,389
56350,466,466
56351,1797,1797
56352,1435,1435
56353,21,21
56354,917,917
56355,1777,1777
56356,2018,2018
56357,90,90
56358,1394,1394
56359,45,45
56360,969,969
56361,351,351
56362,2965,2965
56363,450,450
56364,1147,1147
56365,81,935
56366,1426,1426
56367,411,411
56368,1931,1932
56375,1194,1194
56381,50,50
56383,699,699
56387,1904,1904
56390,3274,3274
56403,182,182
56405,3381,3381
56409,2097,2097
56414,989,989
56416,1316,1316
56419,27,75
56421,504,505
56424,401,401
56425,939,939
56426,957,957
56428,650,650
56429,161,161
56431,162,162
56432,370,370
56433,1228,1228
56435,315,315
56436,469,469
56438,485,485
56440,640,640
56441,331,331
56442,920,920
56443,935,935
56445,120,120
56446,50,50
56447,528,528
56448,376,421
56451,1821,1821
56452,663,3097
56456,866,866
56457,1052,1052
56460,78,78
56462,624,624
56463,250,250
56467,2452,2452
56468,94,94
56469,171,172
56470,73,73
56471,98,98
56472,1160,1160
56474,171,171
56477,183,183
56478,88,150
56479,97,97
56480,1318,1318
56482,46,97
56483,940,940
56485,873,873
56487,189,189
56488,122,122
56506,1059,1059
56509,106,106
56511,415,415
56514,194,194
56523,68,68
56524,195,196
56525,477,485
56531,254,254
56536,922,922
56539,1132,1132
56543,569,569
56545,90,160
56546,199,199
56547,119,119
56549,108,108
56550,689,689
56552,18,18
56553,496,496
56556,729,731
56560,113,113
56564,112,112
56565,112,112
56567,235,235
56568,169,175
56569,101,127
56570,46,120
56572,373,373
56573,465,465
56574,174,174
56575,542,542
56576,520,520
56577,403,403
56578,2265,2265
56579,72,135
56580,133,136
56581,427,427
56582,1868,1868
56583,832,832
56584,21,21
56585,226,226
56586,193,676
56587,86,86
56588,150,150
56589,286,302
56590,102,127
56591,532,532
56592,700,701
56593,79,79
56594,262,309
56595,56,56
56596,855,855
56597,232,232
56598,132,207
56599,949,949
56600,380,380
56601,196,196
56602,282,282
56603,1841,1841
56604,775,775
56605,170,170
56606,125,195
56607,439,463
56608,883,884
56609,457,457
56610,652,655
56611,69,69
56612,322,322
56613,452,452
56614,291,291
56615,249,325
56616,212,212
56617,12,12
56618,114,114
56619,712,712
56620,234,234
56621,521,521
56622,5112,5113
56623,1491,1491
56624,202,202
56625,170,170
56626,119,119
56627,152,152
56628,423,423
56629,758,758
56630,461,464
56631,454,454
56632,1483,1483
56633,134,134
56634,372,372
56635,249,250
56636,143,143
56637,309,309
56638,63,63
56639,224,280
56640,699,700
56641,668,678
56642,111,111
56643,177,177
56644,103,103
56645,137,137
56646,426,428
56647,634,1410
56648,100,100
56649,299,299
56650,115,115
56651,202,202
56652,321,337
56654,133,133
56655,100,100
56656,350,350
56657,675,675
56658,1047,1047
56659,727,727
56660,153,153
56661,136,163
56662,87,87
56663,84,103
56664,94,94
56665,97,97
56666,1008,1008
56667,95,97
56668,1685,1685
56669,1002,1002
56670,546,546
56671,641,643
56672,60,60
56673,952,952
56675,671,897
56676,1157,1157
56677,52,700
56678,100,100
56679,739,739
56680,266,349
56682,536,536
56683,509,509
56684,1298,1298
56686,241,241
56687,439,439
56688,154,169
56689,824,824
56690,278,278
56691,538,541
