2395,310,485
2400,103,120
4765,40,53
9083,5,11
9126,13,15
9138,4,12
16460,5,8
16463,6,12
16530,9,11
24330,66,70
24344,29,33
24760,16,50
24813,33,154
25296,170,196
41217,50,53
45525,8,16
45535,14,16
45536,4,15
47666,27,84
47862,154,164
49621,32,123
49626,235,236
49630,198,199
49857,62,126
49860,82,319
50040,91,153
50044,116,121
50045,49,137
50870,1352,1617
50872,948,1026
50873,774,786
50874,1422,1433
50875,1233,1272
50877,1117,1328
50878,1794,1855
50879,652,733
50880,702,712
50881,1078,1427
50882,1438,1474
50884,277,280
50886,831,884
50887,899,950
50888,256,266
50889,687,704
50891,516,529
50893,394,403
50894,503,506
50895,225,243
50896,1003,1020
50897,562,565
50898,322,539
50899,2,389
50900,378,940
50901,1116,1165
50903,399,1221
50904,458,492
50905,613,641
50906,333,339
50908,571,578
50909,534,591
50914,273,274
50915,493,500
50916,59,74
50918,253,255
50920,607,610
50921,475,624
50922,693,879
50923,374,538
50925,568,587
50927,267,279
50929,28,29
50930,1064,1070
50931,352,365
50936,283,295
50937,346,387
50938,389,390
50941,107,115
50942,352,365
50943,234,249
50948,351,352
50966,276,277
50969,27,28
50975,11,12
50979,159,162
50981,130,145
50987,82,92
50989,142,155
50990,944,947
50995,142,166
51000,72,79
51003,5,6
51012,102,115
51013,67,68
51015,56,57
51017,1136,1157
51019,131,134
51021,303,309
51024,1314,1426
51028,15,16
51042,1122,1175
51043,1222,1555
51045,1047,1810
51046,1933,1934
51049,388,439
51057,623,906
51059,1840,1877
51061,261,814
51062,1456,1475
51064,926,1668
51065,1761,1762
51069,915,1030
51070,1,4564
51071,1493,1499
51072,358,2323
51077,1060,1106
51078,203,1122
51082,553,1706
51083,616,1714
51084,542,782
51087,93,669
51088,439,1013
51090,2432,2439
51091,324,476
51094,479,1306
51096,640,773
51102,392,1680
51103,220,746
51104,700,1887
51106,194,706
51107,114,1182
51108,253,3213
51110,254,1533
51111,330,758
51112,154,779
51113,454,1855
51115,951,1388
51116,76,764
51117,541,638
51120,1024,2615
51124,228,1080
51125,61,234
51126,816,1005
51127,793,1272
51131,602,605
51185,74,82
51221,291,296
51285,814,839
51315,517,518
51342,190,193
51368,119,121
51482,829,835
51510,521,1463
51547,29,34
51697,283,303
51767,1385,1554
51925,203,218
51931,95,97
52231,319,446
52283,304,338
52306,185,189
52399,61,82
